batch_size,sequence_length,dim_size,active_heads,active_ffn,avg_latency,std_latency
16,128,4096,19,10752,116.47242584228516,0.02183128143513598
16,128,4096,20,256,116.30166625976562,0.07438265135646153
16,128,4096,20,512,116.48347549438476,0.04862880765102429
16,128,4096,20,1024,116.55554122924805,0.049326393613928654
16,128,4096,20,1536,116.46068801879883,0.03898821533310731
16,128,4096,20,2048,116.47775039672851,0.053088750950861976
16,128,4096,20,2560,116.5019302368164,0.03490152982324173
16,128,4096,20,3072,116.52833938598633,0.03699970041583709
16,128,4096,20,3584,116.43509368896484,0.04644033422872394
16,128,4096,20,4096,116.5223777770996,0.049223486360459395
16,128,4096,20,4608,116.49845733642579,0.044520370378884386
16,128,4096,20,5120,116.51979522705078,0.04404811281943515
16,128,4096,20,5632,116.46098937988282,0.059286970934975626
16,128,4096,20,6144,116.48637390136719,0.07046957080206033
16,128,4096,20,6656,116.50480346679687,0.04253752800684541
16,128,4096,20,7168,116.56229782104492,0.06197083791328563
16,128,4096,20,7680,116.5023094177246,0.03992153165973125
16,128,4096,20,8192,116.54032897949219,0.07017271539813537
16,128,4096,20,8704,116.52200698852539,0.04309981055803097
16,128,4096,20,9216,116.58391036987305,0.07872420816520741
16,128,4096,20,9728,116.50761642456055,0.042109318049603335
16,128,4096,20,10240,116.5453987121582,0.0962406468255569
16,128,4096,20,10752,116.47345275878907,0.04470227708699055
16,128,4096,21,256,116.47492141723633,0.03845388430507069
16,128,4096,21,512,116.30602645874023,0.061510193743734655
16,128,4096,21,1024,116.52274475097656,0.054658489195876056
16,128,4096,21,1536,116.48745574951172,0.05622721736775585
16,128,4096,21,2048,116.521142578125,0.04631669679807007
16,128,4096,21,2560,116.27739486694335,0.05111826551065481
16,128,4096,21,3072,116.5220703125,0.04280377462347143
16,128,4096,21,3584,116.47939987182617,0.0865680974521958
16,128,4096,21,4096,116.5625015258789,0.03899177090518403
16,128,4096,21,4608,116.43489685058594,0.04844449289857714
16,128,4096,21,5120,116.47786865234374,0.023224133303376616
16,128,4096,21,5632,116.4384391784668,0.0411731283605692
16,128,4096,21,6144,116.47768936157226,0.04671411235626765
16,128,4096,21,6656,116.49360046386718,0.0425618221411733
16,128,4096,21,7168,116.45786514282227,0.045552458761562976
16,128,4096,21,7680,116.46541748046874,0.08344983461888703
16,128,4096,21,8192,116.45360946655273,0.04624794898311151
16,128,4096,21,8704,116.5233367919922,0.04841743318427727
16,128,4096,21,9216,116.46494979858399,0.047213303217047496
16,128,4096,21,9728,116.47679061889649,0.06530444025619249
16,128,4096,21,10240,116.49113311767579,0.037889068027096594
16,128,4096,21,10752,116.47003784179688,0.05050909857853229
16,128,4096,22,256,116.48834762573242,0.06368314670788437
16,128,4096,22,512,116.4520133972168,0.0369109755835616
16,128,4096,22,1024,116.51514205932617,0.041522966951745885
16,128,4096,22,1536,116.47749481201171,0.05391521899704558
16,128,4096,22,2048,116.46991119384765,0.0475052515808215
16,128,4096,22,2560,116.51205520629883,0.03805703317271147
16,128,4096,22,3072,116.52322158813476,0.05288442032717642
16,128,4096,22,3584,116.5189224243164,0.03368786516792283
16,128,4096,22,4096,116.45073928833008,0.029708783943609766
16,128,4096,22,4608,116.46187744140624,0.04558024134980413
16,128,4096,22,5120,116.46448059082032,0.03882201228558344
16,128,4096,22,5632,116.54273300170898,0.05919261805764201
16,128,4096,22,6144,116.4477409362793,0.03776786057790553
16,128,4096,22,6656,116.5002815246582,0.05001350778350454
16,128,4096,22,7168,116.54192352294922,0.057982496555742995
16,128,4096,22,7680,116.52174072265625,0.04911410794438055
16,128,4096,22,8192,116.4750244140625,0.04456591974091175
